State,Keyword,Scheme,Description,Contact
Karnataka,crop loss,Pradhan Mantri Fasal Bima Yojana,Crop insurance for yield protection,1800-111-155
Karnataka,flood,State Disaster Relief Scheme,Financial aid for flood damage,080-223-344
Uttar Pradesh,crop loss,Rashtriya Krishi Bima Yojana,Insurance scheme for farmers,1800-222-333
Tamil Nadu,drought,Chief Minister Drought Relief,Compensation for drought affected farmers,044-222-556
India,income support,Pradhan Mantri Kisan Samman Nidhi,Income support of Rs.6000 per year to farmers,https://pmkisan.gov.in
India,insurance,Pradhan Mantri Fasal Bima Yojana,Crop insurance with low premium,https://pmfby.gov.in
India,irrigation,Pradhan Mantri Krishi Sinchai Yojana,Micro irrigation and water conservation,https://pmksy.gov.in
India,credit,Kisan Credit Card,Affordable credit for farmers,https://pmkisan.gov.in/KCCForm.aspx
India,soil,Soil Health Card Scheme,Soil testing and recommendations,https://soilhealth.dac.gov.in
India,organic,Paramparagat Krishi Vikas Yojana,Promotion of organic farming,https://pgsindia-ncof.gov.in
India,natural,National Mission on Natural Farming,Chemical-free natural farming promotion,https://agricoop.nic.in
India,infrastructure,Agriculture Infrastructure Fund,Funding for agri infrastructure projects,https://agricoop.nic.in
India,FPO,Formation and Promotion of 10,000 FPOs,Support for farmer producer organisations,https://sfac.in
India,bamboo,National Bamboo Mission,Bamboo cultivation and processing,https://nbm.nic.in
India,pension,Pradhan Mantri Kisan Maandhan Yojana,Pension scheme for small & marginal farmers,https://pmkmy.gov.in
